"Notes"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"18 weeks"	"18"	"10th month"	"10"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"10th month"	"10"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"10th month"	"10"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"10th month"	"10"	"2015"	"2015"	0	0	0.00
	"18 weeks"	"18"	"10th month"	"10"	"2016"	"2016"	0	0	0.00
	"18 weeks"	"18"	"10th month"	"10"	"2017"	"2017"	0	0	0.00
	"18 weeks"	"18"	"10th month"	"10"	"2018"	"2018"	0	0	0.00
"Total"	"18 weeks"	"18"	"10th month"	"10"			0	0	0.00
"Total"	"18 weeks"	"18"					1377	1493	922.30
	"19 weeks"	"19"	"No prenatal care"	"00"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"No prenatal care"	"00"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"No prenatal care"	"00"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"No prenatal care"	"00"	"2015"	"2015"	67	87	770.11
	"19 weeks"	"19"	"No prenatal care"	"00"	"2016"	"2016"	69	76	907.89
	"19 weeks"	"19"	"No prenatal care"	"00"	"2017"	"2017"	74	83	891.57
	"19 weeks"	"19"	"No prenatal care"	"00"	"2018"	"2018"	86	99	868.69
"Total"	"19 weeks"	"19"	"No prenatal care"	"00"			297	345	860.87
	"19 weeks"	"19"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"1st month"	"01"	"2015"	"2015"	59	64	921.88
	"19 weeks"	"19"	"1st month"	"01"	"2016"	"2016"	43	50	860.00
	"19 weeks"	"19"	"1st month"	"01"	"2017"	"2017"	58	61	950.82
	"19 weeks"	"19"	"1st month"	"01"	"2018"	"2018"	49	53	924.53
"Total"	"19 weeks"	"19"	"1st month"	"01"			209	228	916.67
	"19 weeks"	"19"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"2nd month"	"02"	"2015"	"2015"	203	220	922.73
	"19 weeks"	"19"	"2nd month"	"02"	"2016"	"2016"	175	189	925.93
	"19 weeks"	"19"	"2nd month"	"02"	"2017"	"2017"	226	236	957.63
	"19 weeks"	"19"	"2nd month"	"02"	"2018"	"2018"	212	226	938.05
"Total"	"19 weeks"	"19"	"2nd month"	"02"			816	871	936.85
	"19 weeks"	"19"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"3rd month"	"03"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"3rd month"	"03"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"3rd month"	"03"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"3rd month"	"03"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"3rd month"	"03"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"3rd month"	"03"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"3rd month"	"03"	"2015"	"2015"	138	145	951.72
	"19 weeks"	"19"	"3rd month"	"03"	"2016"	"2016"	154	164	939.02
	"19 weeks"	"19"	"3rd month"	"03"	"2017"	"2017"	169	182	928.57
	"19 weeks"	"19"	"3rd month"	"03"	"2018"	"2018"	138	151	913.91
"Total"	"19 weeks"	"19"	"3rd month"	"03"			599	642	933.02
	"19 weeks"	"19"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"4th month"	"04"	"2015"	"2015"	46	51	901.96
	"19 weeks"	"19"	"4th month"	"04"	"2016"	"2016"	36	37	972.97
	"19 weeks"	"19"	"4th month"	"04"	"2017"	"2017"	45	52	865.38
	"19 weeks"	"19"	"4th month"	"04"	"2018"	"2018"	37	40	925.00
"Total"	"19 weeks"	"19"	"4th month"	"04"			165	180	916.67
	"19 weeks"	"19"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"5th month"	"05"	"2015"	"2015"	6	6	1000.00 (Unreliable)
	"19 weeks"	"19"	"5th month"	"05"	"2016"	"2016"	11	14	785.71 (Unreliable)
	"19 weeks"	"19"	"5th month"	"05"	"2017"	"2017"	13	15	866.67 (Unreliable)
	"19 weeks"	"19"	"5th month"	"05"	"2018"	"2018"	11	13	846.15 (Unreliable)
"Total"	"19 weeks"	"19"	"5th month"	"05"			41	48	854.17
	"19 weeks"	"19"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"6th month"	"06"	"2015"	"2015"	0	0	0.00
	"19 weeks"	"19"	"6th month"	"06"	"2016"	"2016"	0	0	0.00
	"19 weeks"	"19"	"6th month"	"06"	"2017"	"2017"	0	0	0.00
	"19 weeks"	"19"	"6th month"	"06"	"2018"	"2018"	0	0	0.00
"Total"	"19 weeks"	"19"	"6th month"	"06"			0	0	0.00
	"19 weeks"	"19"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"7th month"	"07"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"7th month"	"07"	"2015"	"2015"	0	0	0.00
	"19 weeks"	"19"	"7th month"	"07"	"2016"	"2016"	0	0	0.00
	"19 weeks"	"19"	"7th month"	"07"	"2017"	"2017"	0	0	0.00
	"19 weeks"	"19"	"7th month"	"07"	"2018"	"2018"	0	0	0.00
"Total"	"19 weeks"	"19"	"7th month"	"07"			0	0	0.00
	"19 weeks"	"19"	"8th month"	"08"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"8th month"	"08"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"8th month"	"08"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"8th month"	"08"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"8th month"	"08"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"8th month"	"08"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"8th month"	"08"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"8th month"	"08"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"8th month"	"08"	"2015"	"2015"	0	0	0.00
	"19 weeks"	"19"	"8th month"	"08"	"2016"	"2016"	0	0	0.00
	"19 weeks"	"19"	"8th month"	"08"	"2017"	"2017"	0	0	0.00
	"19 weeks"	"19"	"8th month"	"08"	"2018"	"2018"	0	0	0.00
"Total"	"19 weeks"	"19"	"8th month"	"08"			0	0	0.00
	"19 weeks"	"19"	"9th month"	"09"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"9th month"	"09"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"9th month"	"09"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"9th month"	"09"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"9th month"	"09"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"9th month"	"09"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"9th month"	"09"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"9th month"	"09"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"9th month"	"09"	"2015"	"2015"	0	0	0.00
	"19 weeks"	"19"	"9th month"	"09"	"2016"	"2016"	0	0	0.00
	"19 weeks"	"19"	"9th month"	"09"	"2017"	"2017"	0	0	0.00
	"19 weeks"	"19"	"9th month"	"09"	"2018"	"2018"	0	0	0.00
"Total"	"19 weeks"	"19"	"9th month"	"09"			0	0	0.00
	"19 weeks"	"19"	"10th month"	"10"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"10th month"	"10"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"10th month"	"10"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"10th month"	"10"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"10th month"	"10"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"10th month"	"10"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"10th month"	"10"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"10th month"	"10"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"19 weeks"	"19"	"10th month"	"10"	"2015"	"2015"	0	0	0.00
	"19 weeks"	"19"	"10th month"	"10"	"2016"	"2016"	0	0	0.00
	"19 weeks"	"19"	"10th month"	"10"	"2017"	"2017"	0	0	0.00
	"19 weeks"	"19"	"10th month"	"10"	"2018"	"2018"	0	0	0.00
"Total"	"19 weeks"	"19"	"10th month"	"10"			0	0	0.00
"Total"	"19 weeks"	"19"					2126	2314	918.76
	"20 weeks"	"20"	"No prenatal care"	"00"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"No prenatal care"	"00"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"No prenatal care"	"00"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"No prenatal care"	"00"	"2015"	"2015"	134	150	893.33
	"20 weeks"	"20"	"No prenatal care"	"00"	"2016"	"2016"	146	161	906.83
	"20 weeks"	"20"	"No prenatal care"	"00"	"2017"	"2017"	137	158	867.09
	"20 weeks"	"20"	"No prenatal care"	"00"	"2018"	"2018"	124	142	873.24
"Total"	"20 weeks"	"20"	"No prenatal care"	"00"			541	611	885.43
	"20 weeks"	"20"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"1st month"	"01"	"2015"	"2015"	110	118	932.20
	"20 weeks"	"20"	"1st month"	"01"	"2016"	"2016"	98	109	899.08
	"20 weeks"	"20"	"1st month"	"01"	"2017"	"2017"	82	97	845.36
	"20 weeks"	"20"	"1st month"	"01"	"2018"	"2018"	72	90	800.00
"Total"	"20 weeks"	"20"	"1st month"	"01"			362	414	874.40
	"20 weeks"	"20"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"2nd month"	"02"	"2015"	"2015"	298	315	946.03
	"20 weeks"	"20"	"2nd month"	"02"	"2016"	"2016"	336	352	954.55
	"20 weeks"	"20"	"2nd month"	"02"	"2017"	"2017"	356	385	924.68
	"20 weeks"	"20"	"2nd month"	"02"	"2018"	"2018"	334	350	954.29
"Total"	"20 weeks"	"20"	"2nd month"	"02"			1324	1402	944.37
	"20 weeks"	"20"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"3rd month"	"03"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"3rd month"	"03"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"3rd month"	"03"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"3rd month"	"03"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"3rd month"	"03"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"3rd month"	"03"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"3rd month"	"03"	"2015"	"2015"	236	248	951.61
	"20 weeks"	"20"	"3rd month"	"03"	"2016"	"2016"	247	266	928.57
	"20 weeks"	"20"	"3rd month"	"03"	"2017"	"2017"	238	246	967.48
	"20 weeks"	"20"	"3rd month"	"03"	"2018"	"2018"	267	278	960.43
"Total"	"20 weeks"	"20"	"3rd month"	"03"			989	1038	952.79
	"20 weeks"	"20"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"4th month"	"04"	"2015"	"2015"	76	78	974.36
	"20 weeks"	"20"	"4th month"	"04"	"2016"	"2016"	87	97	896.91
	"20 weeks"	"20"	"4th month"	"04"	"2017"	"2017"	76	84	904.76
	"20 weeks"	"20"	"4th month"	"04"	"2018"	"2018"	69	76	907.89
"Total"	"20 weeks"	"20"	"4th month"	"04"			308	335	919.40
	"20 weeks"	"20"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"5th month"	"05"	"2015"	"2015"	23	27	851.85
	"20 weeks"	"20"	"5th month"	"05"	"2016"	"2016"	39	43	906.98
	"20 weeks"	"20"	"5th month"	"05"	"2017"	"2017"	22	23	956.52
	"20 weeks"	"20"	"5th month"	"05"	"2018"	"2018"	31	34	911.76
"Total"	"20 weeks"	"20"	"5th month"	"05"			116	127	913.39
	"20 weeks"	"20"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"6th month"	"06"	"2015"	"2015"	0	0	0.00
	"20 weeks"	"20"	"6th month"	"06"	"2016"	"2016"	0	0	0.00
	"20 weeks"	"20"	"6th month"	"06"	"2017"	"2017"	0	0	0.00
	"20 weeks"	"20"	"6th month"	"06"	"2018"	"2018"	0	0	0.00
"Total"	"20 weeks"	"20"	"6th month"	"06"			0	0	0.00
	"20 weeks"	"20"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"7th month"	"07"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"7th month"	"07"	"2015"	"2015"	0	0	0.00
	"20 weeks"	"20"	"7th month"	"07"	"2016"	"2016"	0	0	0.00
	"20 weeks"	"20"	"7th month"	"07"	"2017"	"2017"	0	0	0.00
	"20 weeks"	"20"	"7th month"	"07"	"2018"	"2018"	0	0	0.00
"Total"	"20 weeks"	"20"	"7th month"	"07"			0	0	0.00
	"20 weeks"	"20"	"8th month"	"08"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"8th month"	"08"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"8th month"	"08"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"8th month"	"08"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"8th month"	"08"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"8th month"	"08"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"8th month"	"08"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"8th month"	"08"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"20 weeks"	"20"	"8th month"	"08"	"2015"	"2015"	0	0	0.00
	"20 weeks"	"20"	"8th month"	"08"	"2016"	"2016"	0	0	0.00
	"20 weeks"	"20"	"8th month"	"08"	"2017"	"2017"	0	0	0.00
	"20 weeks"	"20"	"8th month"	"08"	"2018"	"2018"	0	0	0.00
"Total"	"20 weeks"	"20"	"8th month"	"08"			0	0	0.00
