Category,Indicator,Year,SampleSize,Prevalence,CI,State
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2013,1015,82.9,(78.9-86.2),Arkansas
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,884,78.5,(74.4-82.1),Arkansas
Health Care Services,Talked to provider about improving health before pregnancy,2012,815,18.9,(14.9-23.7),Arkansas
Health Care Services,Talked to provider about improving health before pregnancy,2013,1030,16.5,(13.2-20.3),Arkansas
Health Care Services,Talked to provider about improving health before pregnancy,2015,894,18.6,(15.4-22.2),Arkansas
Health Care Services,Began prenatal care in 1st trimester,2012,783,81.0,(76.1-85.1),Arkansas
Health Care Services,Began prenatal care in 1st trimester,2013,991,73.7,(69.1-77.8),Arkansas
Health Care Services,Began prenatal care in 1st trimester,2015,890,82.6,(78.9-85.8),Arkansas
Health Care Services,Took childbirth class,2012,811,15.7,(12.0-20.2),Arkansas
Health Care Services,Took childbirth class,2013,1026,15.4,(12.3-19.2),Arkansas
Health Care Services,Took childbirth class,2015,896,12.3,(9.5-15.6),Arkansas
Health Care Services,Had home visitor during pregnancy,2012,810,8.1,(5.6-11.6),Arkansas
Health Care Services,Had home visitor during pregnancy,2013,1025,8.1,(5.9-11.0),Arkansas
Health Care Services,Had home visitor during pregnancy,2015,897,2.5,(1.5-4.3),Arkansas
Health Care Services,Had flu shot before or during pregnancy,2012,794,45.1,(39.6-50.8),Arkansas
Health Care Services,Had flu shot before or during pregnancy,2013,1013,53.5,(48.6-58.3),Arkansas
Health Care Services,Had flu shot before or during pregnancy,2015,884,59.0,(54.5-63.4),Arkansas
Health Care Services,Had maternal postpartum checkup,2012,808,87.7,(83.6-90.9),Arkansas
Health Care Services,Had maternal postpartum checkup,2013,1022,84.9,(81.0-88.1),Arkansas
Health Care Services,Had maternal postpartum checkup,2015,891,84.9,(81.3-87.8),Arkansas
Oral Health,Teeth cleaned during 12 months before pregnancy,2012,815,47.9,(42.4-53.5),Arkansas
Oral Health,Teeth cleaned during 12 months before pregnancy,2013,1029,46.0,(41.2-50.8),Arkansas
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,898,50.3,(45.8-54.9),Arkansas
Oral Health,Teeth cleaned during pregnancy,2012,807,40.5,(35.1-46.1),Arkansas
Oral Health,Teeth cleaned during pregnancy,2013,1018,38.4,(33.8-43.2),Arkansas
Oral Health,Teeth cleaned during pregnancy,2015,891,39.3,(35.0-43.8),Arkansas
Oral Health,Had dental insurance during pregnancy,2012,804,53.8,(48.2-59.4),Arkansas
Oral Health,Had dental insurance during pregnancy,2013,1016,54.3,(49.4-59.1),Arkansas
Oral Health,Had dental insurance during pregnancy,2015,884,61.7,(57.2-66.0),Arkansas
Pre-pregnancy Health Insurance Status,Private insurance,2012,790,48.4,(42.8-54.1),Arkansas
Pre-pregnancy Health Insurance Status,Private insurance,2013,1004,46.6,(41.7-51.5),Arkansas
Pre-pregnancy Health Insurance Status,Private insurance,2015,834,52.0,(47.3-56.6),Arkansas
Pre-pregnancy Health Insurance Status,Medicaid,2012,790,15.5,(11.9-20.0),Arkansas
Pre-pregnancy Health Insurance Status,Medicaid,2013,1004,13.1,(10.3-16.6),Arkansas
Pre-pregnancy Health Insurance Status,Medicaid,2015,834,20.7,(17.3-24.5),Arkansas
Pre-pregnancy Health Insurance Status,No insurance,2012,790,30.3,(25.4-35.7),Arkansas
Pre-pregnancy Health Insurance Status,No insurance,2013,1004,37.1,(32.4-42.1),Arkansas
Pre-pregnancy Health Insurance Status,No insurance,2015,834,20.6,(17.0-24.6),Arkansas
Health Insurance Status During Pregnancy,Private insurance,2012,783,41.5,(36.1-47.2),Arkansas
Health Insurance Status During Pregnancy,Private insurance,2013,985,41.9,(37.1-46.8),Arkansas
Health Insurance Status During Pregnancy,Private insurance,2015,829,45.9,(41.2-50.6),Arkansas
Health Insurance Status During Pregnancy,Medicaid,2012,783,48.9,(43.3-54.6),Arkansas
Health Insurance Status During Pregnancy,Medicaid,2013,985,50.6,(45.6-55.5),Arkansas
Health Insurance Status During Pregnancy,Medicaid,2015,829,44.3,(39.7-49.0),Arkansas
Health Insurance Status During Pregnancy,No insurance,2012,808,5.5,(3.5-8.7),Arkansas
Health Insurance Status During Pregnancy,No insurance,2013,1013,5.1,(3.3-7.8),Arkansas
Health Insurance Status During Pregnancy,No insurance,2015,894,5.1,(3.4-7.5),Arkansas
Health Insurance Status Postpartum,Private insurance,2012,780,45.9,(40.4-51.6),Arkansas
Health Insurance Status Postpartum,Private insurance,2013,993,45.5,(40.7-50.4),Arkansas
Health Insurance Status Postpartum,Private insurance,2015,823,46.5,(41.9-51.2),Arkansas
Health Insurance Status Postpartum,Medicaid,2012,780,18.6,(14.5-23.5),Arkansas
Health Insurance Status Postpartum,Medicaid,2013,993,19.4,(15.9-23.6),Arkansas
Health Insurance Status Postpartum,Medicaid,2015,823,33.0,(28.9-37.5),Arkansas
Health Insurance Status Postpartum,No insurance,2012,812,31.1,(26.2-36.4),Arkansas
Health Insurance Status Postpartum,No insurance,2013,1028,32.2,(27.8-37.0),Arkansas
Health Insurance Status Postpartum,No insurance,2015,893,15.8,(12.8-19.5),Arkansas
Infant Sleep Practices,Baby most often laid on back to sleep,2012,773,64.2,(58.5-69.5),Arkansas
Infant Sleep Practices,Baby most often laid on back to sleep,2013,990,67.2,(62.4-71.6),Arkansas
Infant Sleep Practices,Baby most often laid on back to sleep,2015,855,70.7,(66.4-74.7),Arkansas
Breastfeeding Practices,Ever breastfed,2012,781,71.6,(66.3-76.4),Arkansas
Breastfeeding Practices,Ever breastfed,2013,994,72.3,(67.7-76.5),Arkansas
Breastfeeding Practices,Ever breastfed,2015,865,79.2,(75.3-82.6),Arkansas
Breastfeeding Practices,Any breastfeeding at 8 weeks,2012,775,44.3,(38.7-50.0),Arkansas
Breastfeeding Practices,Any breastfeeding at 8 weeks,2013,980,43.7,(38.9-48.7),Arkansas
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,861,51.3,(46.7-55.9),Arkansas
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,1218,46.8,(42.9-50.6),Colorado
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,1655,44.2,(40.9-47.6),Colorado
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,1731,42.7,(39.5-45.9),Colorado
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,1222,29.7,(26.3-33.4),Colorado
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,1651,28.6,(25.7-31.7),Colorado
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,1720,27.0,(24.2-30.0),Colorado
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,1220,58.7,(54.9-62.5),Colorado
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,1656,54.7,(51.3-58.0),Colorado
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,1723,57.6,(54.3-60.8),Colorado
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,1148,3.9,(2.6-6.0),Colorado
Pre-pregnancy Weight,Underweight (BMI<18.5),2013,1558,4.2,(3.0-5.7),Colorado
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,1634,4.7,(3.5-6.2),Colorado
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2012,1148,24.7,(21.4-28.3),Colorado
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2013,1558,24.4,(21.6-27.5),Colorado
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2015,1634,21.9,(19.2-24.8),Colorado
Pre-pregnancy Weight,Obese (BMI >30),2012,1148,14.8,(12.2-17.8),Colorado
Pre-pregnancy Weight,Obese (BMI >30),2013,1558,16.0,(13.6-18.7),Colorado
Pre-pregnancy Weight,Obese (BMI >30),2015,1634,15.8,(13.7-18.2),Colorado
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2012,1219,19.1,(16.3-22.2),Colorado
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2013,1646,19.6,(17.0-22.3),Colorado
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2015,1725,17.0,(14.8-19.5),Colorado
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2012,1217,9.0,(7.1-11.5),Colorado
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2013,1645,7.4,(5.8-9.4),Colorado
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2015,1725,5.9,(4.7-7.5),Colorado
Substance Use,Any cigarette smoking postpartum,2012,1218,11.0,(8.9-13.7),Colorado
Substance Use,Any cigarette smoking postpartum,2013,1650,11.1,(9.1-13.4),Colorado
Substance Use,Any cigarette smoking postpartum,2015,1725,9.7,(8.0-11.7),Colorado
Substance Use,Any alcohol use during the 3 months before pregnancy,2012,1210,62.6,(58.7-66.3),Colorado
Substance Use,Any alcohol use during the 3 months before pregnancy,2013,1646,66.7,(63.4-69.8),Colorado
Substance Use,Any alcohol use during the 3 months before pregnancy,2015,1725,61.2,(57.9-64.3),Colorado
Substance Use,Any alcohol use during the last 3 months of pregnancy,2012,1212,10.4,(8.3-13.0),Colorado
Substance Use,Any alcohol use during the last 3 months of pregnancy,2013,1649,14.1,(11.8-16.7),Colorado
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,1719,12.0,(10.0-14.4),Colorado
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2012,1219,2.4,(1.4-4.0),Colorado
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2013,1653,2.7,(1.8-4.2),Colorado
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,1727,2.1,(1.4-3.2),Colorado
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2012,1220,1.2,(0.6-2.3),Colorado
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2013,1652,2.3,(1.5-3.7),Colorado
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,1727,1.9,(1.2-3.0),Colorado
Depression,Told by a provider had depression before pregnancy,2012,1197,8.7,(6.9-11.1),Colorado
Depression,Told by a provider had depression before pregnancy,2013,1642,9.3,(7.6-11.3),Colorado
Depression,Told by a provider had depression before pregnancy,2015,1698,10.5,(8.7-12.6),Colorado
Depression,Self-reported postpartum depressive symptoms,2012,1211,9.0,(7.0-11.4),Colorado
Depression,Self-reported postpartum depressive symptoms,2013,1646,11.0,(9.0-13.4),Colorado
Depression,Self-reported postpartum depressive symptoms,2015,1724,12.4,(10.4-14.8),Colorado
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2012,1072,32.7,(29.0-36.7),Colorado
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2013,1450,35.1,(31.7-38.6),Colorado
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,1456,29.4,(26.2-32.8),Colorado
Pregnancy Intention and Family Planning,Unsure about pregnancy,2012,1205,9.6,(7.5-12.1),Colorado
Pregnancy Intention and Family Planning,Unsure about pregnancy,2013,1640,11.9,(9.8-14.4),Colorado
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,1716,13.1,(11.1-15.3),Colorado
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2012,1208,87.5,(84.7-89.8),Colorado
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2013,1641,86.0,(83.6-88.2),Colorado
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,1721,83.1,(80.4-85.4),Colorado
Health Care Services,Talked to provider about improving health before pregnancy,2012,1221,26.1,(22.8-29.6),Colorado
Health Care Services,Talked to provider about improving health before pregnancy,2013,1655,25.1,(22.3-28.1),Colorado
Health Care Services,Talked to provider about improving health before pregnancy,2015,1731,24.0,(21.3-26.9),Colorado
Health Care Services,Began prenatal care in 1st trimester,2012,1198,89.0,(86.4-91.1),Colorado
Health Care Services,Began prenatal care in 1st trimester,2013,1632,88.2,(85.8-90.2),Colorado
Health Care Services,Began prenatal care in 1st trimester,2015,1704,86.5,(83.9-88.7),Colorado
Health Care Services,Took childbirth class,2012,1220,28.5,(25.1-32.1),Colorado
Health Care Services,Took childbirth class,2013,1651,26.5,(23.7-29.5),Colorado
Health Care Services,Took childbirth class,2015,1716,27.3,(24.4-30.4),Colorado
Health Care Services,Had home visitor during pregnancy,2012,1223,8.2,(6.3-10.7),Colorado
Health Care Services,Had home visitor during pregnancy,2013,1652,5.6,(4.3-7.3),Colorado
Health Care Services,Had home visitor during pregnancy,2015,1722,6.9,(5.3-8.9),Colorado
Health Care Services,Had flu shot before or during pregnancy,2012,1197,56.0,(52.1-59.8),Colorado
Health Care Services,Had flu shot before or during pregnancy,2013,1628,64.5,(61.2-67.6),Colorado
Health Care Services,Had flu shot before or during pregnancy,2015,1691,66.5,(63.4-69.4),Colorado
Health Care Services,Had maternal postpartum checkup,2012,1221,90.2,(87.6-92.3),Colorado
Health Care Services,Had maternal postpartum checkup,2013,1650,90.9,(88.7-92.7),Colorado
Health Care Services,Had maternal postpartum checkup,2015,1728,92.1,(90.1-93.7),Colorado
Oral Health,Teeth cleaned during 12 months before pregnancy,2012,1220,59.4,(55.5-63.1),Colorado
Oral Health,Teeth cleaned during 12 months before pregnancy,2013,1650,56.3,(53.0-59.7),Colorado
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,1719,59.1,(55.9-62.3),Colorado
Oral Health,Teeth cleaned during pregnancy,2012,1219,49.2,(45.3-53.1),Colorado
Oral Health,Teeth cleaned during pregnancy,2013,1650,47.9,(44.6-51.3),Colorado
Oral Health,Teeth cleaned during pregnancy,2015,1724,50.9,(47.6-54.1),Colorado
Oral Health,Had dental insurance during pregnancy,2012,1207,64.5,(60.7-68.1),Colorado
Oral Health,Had dental insurance during pregnancy,2013,1628,65.0,(61.7-68.2),Colorado
Oral Health,Had dental insurance during pregnancy,2015,1713,72.3,(69.2-75.2),Colorado
Pre-pregnancy Health Insurance Status,Private insurance,2012,1185,63.9,(60.1-67.6),Colorado
Pre-pregnancy Health Insurance Status,Private insurance,2013,1625,62.0,(58.6-65.3),Colorado
Pre-pregnancy Health Insurance Status,Private insurance,2015,1682,61.5,(58.2-64.7),Colorado
Pre-pregnancy Health Insurance Status,Medicaid,2012,1185,14.7,(12.2-17.7),Colorado
Pre-pregnancy Health Insurance Status,Medicaid,2013,1625,14.8,(12.5-17.4),Colorado
Pre-pregnancy Health Insurance Status,Medicaid,2015,1682,23.5,(20.7-26.4),Colorado
Pre-pregnancy Health Insurance Status,No insurance,2012,1185,18.4,(15.5-21.6),Colorado
Pre-pregnancy Health Insurance Status,No insurance,2013,1625,21.4,(18.7-24.4),Colorado
Pre-pregnancy Health Insurance Status,No insurance,2015,1682,13.2,(11.0-15.7),Colorado
Health Insurance Status During Pregnancy,Private insurance,2012,1183,63.5,(59.7-67.2),Colorado
Health Insurance Status During Pregnancy,Private insurance,2013,1596,61.4,(58.0-64.7),Colorado
Health Insurance Status During Pregnancy,Private insurance,2015,1670,59.9,(56.6-63.1),Colorado
Health Insurance Status During Pregnancy,Medicaid,2012,1183,30.0,(26.5-33.7),Colorado
Health Insurance Status During Pregnancy,Medicaid,2013,1596,32.8,(29.6-36.1),Colorado
Health Insurance Status During Pregnancy,Medicaid,2015,1670,35.8,(32.6-39.0),Colorado
Health Insurance Status During Pregnancy,No insurance,2012,1219,2.8,(1.8-4.4),Colorado
Health Insurance Status During Pregnancy,No insurance,2013,1649,3.6,(2.6-5.1),Colorado
Health Insurance Status During Pregnancy,No insurance,2015,1725,2.9,(1.9-4.3),Colorado
Health Insurance Status Postpartum,Private insurance,2012,1186,60.3,(56.5-64.1),Colorado
Health Insurance Status Postpartum,Private insurance,2013,1622,59.5,(56.1-62.9),Colorado
Health Insurance Status Postpartum,Private insurance,2015,1676,57.3,(53.9-60.5),Colorado
Health Insurance Status Postpartum,Medicaid,2012,1186,22.4,(19.3-25.8),Colorado
Health Insurance Status Postpartum,Medicaid,2013,1622,26.7,(23.7-29.8),Colorado
Health Insurance Status Postpartum,Medicaid,2015,1676,30.0,(27.0-33.1),Colorado
Health Insurance Status Postpartum,No insurance,2012,1220,14.4,(11.9-17.4),Colorado
Health Insurance Status Postpartum,No insurance,2013,1655,12.5,(10.4-15.0),Colorado
Health Insurance Status Postpartum,No insurance,2015,1732,11.7,(9.6-14.1),Colorado
Infant Sleep Practices,Baby most often laid on back to sleep,2012,1174,82.8,(79.5-85.6),Colorado
Infant Sleep Practices,Baby most often laid on back to sleep,2013,1596,84.6,(82.0-86.9),Colorado
Infant Sleep Practices,Baby most often laid on back to sleep,2015,1672,87.7,(85.4-89.7),Colorado
Breastfeeding Practices,Ever breastfed,2012,1193,92.7,(90.5-94.5),Colorado
Breastfeeding Practices,Ever breastfed,2013,1618,94.5,(92.8-95.8),Colorado
Breastfeeding Practices,Ever breastfed,2015,1687,93.8,(92.0-95.2),Colorado
Breastfeeding Practices,Any breastfeeding at 8 weeks,2012,1172,74.5,(70.9-77.8),Colorado
Breastfeeding Practices,Any breastfeeding at 8 weeks,2013,1601,75.7,(72.7-78.5),Colorado
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,1670,77.6,(74.8-80.2),Colorado
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,1021,34.1,(31.2-37.2),Delaware
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,999,33.7,(30.8-36.8),Delaware
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2014,930,38.3,(35.2-41.6),Delaware
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,935,38.2,(35.0-41.4),Delaware
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,1020,29.8,(27.0-32.8),Delaware
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,1006,30.0,(27.1-33.1),Delaware
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2014,927,29.5,(26.5-32.6),Delaware
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,939,31.5,(28.5-34.6),Delaware
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,1018,43.6,(40.5-46.8),Delaware
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,1009,42.1,(39.0-45.3),Delaware
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2014,926,44.4,(41.1-47.8),Delaware
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,940,45.7,(42.4-49.0),Delaware
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,962,4.5,(3.3-6.0),Delaware
